id,speed
57,28.63
23,23.06
124,30.40
37,26.57
52,31.64
114,26.12
14,27.28
26,25.92
152,20.65
7,26.71
17,34.44
98,41.44
103,20.23
51,40.01
70,31.81
169,23.86
144,23.22
159,41.51
92,23.05
24,21.10
51,22.36
84,22.81
50,39.66
187,35.41
80,29.94
139,31.81
4,42.23
49,34.70
136,37.33
185,30.99
43,43.24
107,33.68
99,24.20
182,43.80
50,38.88
163,23.82
148,25.78
187,38.63
87,28.99
5,43.28
128,35.27
76,23.42
54,20.32
177,22.22
100,37.26
114,22.88
156,34.77
120,26.29
125,29.58
70,35.21
157,20.23
159,23.54
168,22.47
108,26.86
63,33.39
42,36.16
50,38.96
174,21.52
114,26.13
52,31.31
107,26.57
112,39.48
135,31.70
15,23.62
38,35.90
147,32.50
143,38.23
112,40.66
35,31.10
21,28.80
193,28.55
57,37.49
97,37.23
159,28.94
35,23.09
177,23.84
4,24.84
194,21.64
85,22.51
59,38.85
11,31.99
155,24.73
114,31.23
148,40.73
1,35.21
66,42.70
109,40.63
15,34.26
14,39.97
78,27.13
151,26.62
171,39.63
95,41.04
81,30.77
158,21.63
74,42.37
55,38.62
194,42.46
170,35.19
103,33.28
164,42.52
161,37.48
80,36.45
92,38.48
10,29.89
132,33.78
65,36.85
81,38.10
34,32.54
144,34.73
7,40.23
104,22.09
165,20.39
140,25.20
124,30.21
85,34.31
73,31.02
89,43.65
3,32.42
196,38.47
132,29.99
83,26.18
1,28.89
101,29.45
29,33.48
139,36.78
177,21.05
3,30.23
59,32.81
23,34.78
76,41.43
152,22.91
181,28.93
175,36.94
106,21.66
58,34.53
143,30.91
156,23.66
182,40.81
107,29.75
157,43.20
154,43.00
63,36.88
80,24.91
124,43.48
142,30.69
62,30.50
197,28.24
152,30.45
158,25.61
69,41.70
181,23.36
93,37.94
10,21.84
118,27.67
56,31.71
70,23.77
166,30.46
4,39.84
72,31.53
33,27.57
52,30.11
47,37.70
17,42.78
15,26.41
138,42.28
154,43.97
93,41.34
50,32.85
196,40.02
172,41.81
111,30.79
103,24.88
139,35.76
35,38.96
64,30.11
159,22.55
131,34.91
72,38.68
39,36.83
54,42.41
32,24.18
64,38.94
66,31.32
29,32.75
37,34.88
46,35.00
187,34.37
171,34.06
42,27.23
106,37.40
62,26.12
183,22.87
52,24.73
43,39.40
132,29.46
68,35.41
194,23.02
95,25.41
138,34.24
74,38.84
128,26.35
4,22.89
184,24.11
47,38.70
197,28.95
157,30.40
59,36.13
119,40.09
126,23.31
1,28.41
184,29.84
178,28.46
156,26.01
101,40.58
193,20.90
69,28.94
18,29.91
122,40.19
115,35.72
118,21.17
67,24.95
104,27.97
17,38.05
18,38.84
166,40.38
85,21.02
101,28.30
82,33.07
143,23.70
148,30.78
196,42.61
117,26.40
28,40.49
113,31.44
79,22.14
58,26.07
77,38.07
170,39.65
121,20.31
136,32.18
36,34.40
131,25.05
113,28.47
55,37.55
188,30.83
176,39.09
75,28.54
170,33.42
93,43.82
126,24.48
16,38.09
129,33.12
71,43.90
156,25.36
72,21.84
167,36.46
7,25.93
47,39.38
25,20.82
183,28.37
49,23.00
54,38.84
65,20.47
69,23.57
153,38.16
150,32.36
2,31.99
135,40.44
54,21.67
47,41.00
138,37.23
27,36.50
155,27.14
138,27.50
134,30.82
5,28.80
177,22.40
152,23.04
181,37.44
124,31.46
108,25.82
141,27.86
92,36.90
23,31.77
139,25.01
86,37.34
4,33.78
33,28.90
184,22.64
95,42.58
64,32.76
153,27.51
182,22.31
98,20.59
23,23.71
66,42.63
74,33.71
191,32.93
6,30.28
119,22.60
67,28.55
104,39.79
177,34.16
62,24.11
28,33.04
197,25.38
74,26.68
53,32.14
191,26.42
148,22.60
53,28.40
156,24.79
117,32.39
198,22.33
76,20.63
37,22.31
42,29.89
72,26.20
71,28.59
72,20.64
116,34.86
112,30.84
108,26.26
13,21.22
125,38.66
4,41.86
66,25.62
51,42.17
166,34.96
31,40.95
160,24.76
5,41.54
163,20.56
200,37.20
33,22.35
91,40.08
23,35.58
42,33.80
47,26.15
83,32.22
142,30.32
13,35.22
9,21.96
25,24.42
88,24.00
71,20.61
5,40.15
13,31.73
57,29.15
102,39.61
83,35.50
154,23.01
11,24.39
77,37.70
90,37.23
130,30.66
93,32.83
196,29.70
184,22.77
176,22.38
144,26.72
147,43.72
81,24.56
155,22.28
151,34.57
199,24.32
180,32.28
17,39.39
113,39.16
33,26.78
43,36.80
70,43.00
138,40.18
106,25.93
121,21.32
168,37.37
158,26.41
3,20.52
68,31.51
54,22.39
71,21.96
160,43.75
116,31.17
143,30.12
194,37.31
77,31.52
129,43.56
36,40.84
110,40.63
50,25.66
11,35.89
83,29.26
89,27.42
122,38.38
180,37.87
91,23.05
55,32.44
184,20.62
200,43.43
66,39.07
10,27.57
150,32.78
169,34.65
49,27.23
24,27.91
158,40.45
52,21.62
87,20.49
167,33.89
18,24.42
159,20.46
76,36.07
168,43.39
19,25.23
25,22.07
158,21.74
185,27.63
53,31.13
46,25.93
28,25.96
96,40.36
50,39.47
111,24.51
180,33.81
30,41.57
195,30.56
164,31.24
60,32.65
154,41.62
9,25.49
86,22.93
178,39.65
87,31.85
61,38.51
52,29.38
185,29.98
126,36.93
51,26.58
113,34.62
28,34.50
81,24.26
27,33.68
146,38.06
49,25.63
93,42.59
74,32.12
176,39.08
116,30.45
57,37.72
60,37.89
69,31.83
26,35.36
63,40.74
8,41.89
25,41.30
14,21.92
194,31.04
110,26.65
139,28.49
179,31.46
28,36.80
77,39.57
13,40.47
179,40.70
106,25.06
170,42.12
183,35.09
98,31.49
139,28.05
147,33.06
184,34.55
99,30.21
173,35.30
25,25.05
49,38.08
47,28.13
106,29.03
124,20.87
192,39.05
65,32.67
65,22.42
100,40.24
140,34.74
41,20.49
74,32.44
86,23.55
159,28.99
77,38.66
99,27.23
39,30.51
36,25.06
162,26.30
70,30.56
199,35.11
94,22.04
84,42.33
169,39.86
139,35.03
182,42.46
185,39.66
88,29.68
39,35.56
34,30.95
159,34.37
173,42.04
130,35.33
20,41.78
118,29.70
155,30.34
163,29.46
89,28.45
193,24.13
82,28.78
67,35.53
55,20.33
58,22.92
145,24.03
115,25.25
173,35.27
41,42.45
142,23.28
89,42.00
150,34.77
141,26.10
181,25.94
145,21.09
147,41.16
137,25.11
94,42.98
186,20.46
160,35.99
34,36.18
20,39.46
72,38.37
133,27.70
82,22.08
156,31.37
51,35.23
159,41.83
187,24.68
160,39.56
118,33.08
87,35.36
146,32.30
175,22.76
40,41.08
190,27.15
165,32.74
115,27.98
112,22.74
24,39.51
134,39.18
46,26.67
50,30.48
34,31.34
20,39.51
95,29.57
24,26.97
131,33.54
21,20.31
61,42.73
107,25.33
160,28.60
156,22.08
71,30.72
86,36.58
180,33.51
183,37.95
131,27.67
69,26.93
50,29.14
7,38.38
49,26.73
137,22.17
109,24.02
23,40.27
122,35.19
80,37.91
184,42.21
174,33.66
110,37.50
65,30.12
14,33.31
99,43.68
20,41.40
98,25.02
83,20.38
195,22.66
94,28.89
195,33.32
40,23.52
37,35.53
200,42.52
196,24.64
83,38.57
185,28.64
41,42.70
117,32.95
170,42.53
84,41.81
137,34.28
65,37.24
18,43.27
44,21.03
46,29.09
98,29.09
191,29.27
169,43.88
167,25.99
66,26.33
106,26.20
48,33.42
53,42.38
166,20.77
97,25.26
121,29.26
155,41.08
86,37.86
183,21.30
34,31.70
126,35.93
65,28.90
19,22.85
175,21.70
137,22.15
46,39.44
199,21.17
62,42.07
175,23.91
149,39.15
145,40.97
32,26.31
108,23.64
103,28.61
145,22.09
199,22.45
170,41.92
44,40.85
45,28.03
144,42.53
5,29.57
70,32.51
52,25.87
118,22.44
190,26.91
164,27.48
40,37.48
2,26.90
158,36.63
115,40.80
56,24.77
155,37.84
24,34.56
121,36.15
187,39.67
103,35.61
90,42.44
84,31.18
125,40.55
157,24.91
154,37.40
1,31.96
163,35.49
88,26.83
22,37.04
27,42.77
1,27.23
174,42.19
103,38.49
110,29.87
92,43.98
79,28.46
35,24.22
199,32.40
62,27.63
93,35.63
177,29.85
200,24.96
162,21.66
197,34.43
44,23.41
56,39.90
6,30.01
169,30.73
46,23.92
123,20.89
8,32.35
35,20.68
152,21.48
82,24.34
116,30.14
148,35.43
147,30.97
197,43.72
132,20.74
187,33.48
108,41.70
135,36.23
117,41.72
133,34.90
154,38.92
124,26.71
169,24.06
123,26.24
145,32.80
65,26.82
174,30.79
104,35.24
55,29.28
32,28.10
160,24.35
185,26.26
19,27.86
7,32.35
125,40.04
25,37.98
150,43.06
143,32.12
78,30.76
23,41.78
77,32.98
35,33.59
167,42.59
119,21.87
200,32.46
194,24.96
7,22.12
198,35.52
36,23.21
61,25.30
170,37.54
101,36.80
116,28.48
189,30.33
89,30.90
146,21.27
77,38.66
30,24.98
104,43.34
120,41.70
134,40.44
150,21.24
1,29.18
170,20.29
144,38.83
151,24.10
132,26.10
169,40.75
94,42.25
189,38.99
70,23.37
52,27.68
57,38.48
186,26.90
120,35.47
96,30.57
126,25.86
137,33.07
165,36.72
176,36.73
141,30.59
198,34.07
46,43.39
60,31.84
137,41.83
10,29.04
175,34.60
6,29.01
195,27.68
168,33.91
65,35.87
158,25.96
30,42.80
155,39.37
79,24.67
14,22.42
108,23.17
66,38.06
73,30.80
184,34.61
2,42.72
195,37.54
121,39.36
75,20.04
81,27.81
50,43.88
187,25.83
40,39.02
67,31.38
53,40.84
112,42.42
162,28.34
30,20.07
125,20.88
120,24.12
154,29.75
152,28.14
140,31.94
26,30.61
121,30.34
180,37.06
131,25.53
195,37.72
163,35.08
103,43.51
161,38.36
28,20.81
68,21.55
199,35.40
117,37.43
163,33.91
175,26.34
81,20.22
155,23.62
57,38.17
88,43.85
185,43.12
101,40.84
105,43.91
128,27.58
17,24.74
195,35.43
61,32.96
106,35.52
59,28.52
111,24.49
173,31.95
6,32.90
190,39.25
190,22.62
169,39.05
69,42.18
4,30.33
43,43.60
152,32.36
75,22.67
130,41.71
137,34.51
40,33.02
151,38.23
197,25.25
56,22.97
140,28.71
147,29.81
3,39.08
64,40.14
193,40.60
154,22.83
80,34.32
161,41.97
151,43.58
65,21.95
74,36.23
168,21.26
92,40.00
164,23.04
200,25.11
40,30.71
72,37.22
60,25.36
138,40.31
176,41.00
107,24.53
124,40.44
105,40.95
152,26.92
140,41.96
3,31.02
70,21.39
110,40.14
38,30.89
81,31.43
16,36.98
200,42.96
70,23.68
65,31.64
194,26.05
197,28.52
65,40.43
198,24.23
135,40.72
136,40.72
97,39.68
148,41.62
109,25.95
170,42.86
177,42.58
200,42.96
51,24.74
192,25.69
82,40.27
181,39.25
123,32.00
177,20.95
19,27.57
95,24.08
108,24.49
157,30.94
6,23.16
151,25.89
135,33.99
118,42.47
106,23.11
144,43.40
172,37.72
170,39.38
2,39.34
40,31.95
31,39.04
37,28.80
48,36.74
4,41.86
142,21.07
125,21.23
109,22.03
178,29.09
176,21.20
80,40.96
126,38.13
78,27.51
47,43.76
46,20.72
52,40.90
146,36.12
140,26.67
137,20.62
136,34.85
27,40.71
100,43.89
35,33.61
196,43.83
32,29.65
12,36.08
154,36.12
6,30.39
150,21.04
90,20.27
149,43.07
137,42.10
174,28.51
188,36.27
200,22.28
84,40.11
16,29.94
93,27.63
114,28.89
139,29.83
135,25.67
18,21.39
36,26.76
123,40.82
62,24.63
165,21.70
134,26.81
132,26.54
200,42.60
163,32.48
92,29.92
88,35.39
41,21.21
92,30.40
2,26.37
167,43.47
122,39.90
96,39.81
82,29.23
169,22.91
45,25.99
11,22.71
89,32.28
149,40.58
114,43.19
11,39.20
122,41.37
54,42.94
25,31.54
169,29.34
90,28.10
116,35.95
26,20.06
136,39.82
57,39.98
113,29.08
33,21.64
137,31.90
127,32.49
61,43.86
154,31.72
12,36.69
161,41.04
74,28.88
126,30.67
105,43.89
84,26.29
125,36.67
190,27.26
26,31.24
101,35.52
147,28.73
70,36.31
62,36.40
190,21.63
76,24.46
126,23.47
176,41.77
15,23.04
197,31.98
3,37.01
136,21.71
46,29.55
96,23.15
120,39.92
103,23.47
68,32.69
22,27.74
167,33.26
44,21.48
34,21.25
191,40.80
158,22.49
173,20.41
157,24.67
50,31.02
199,27.03
60,27.93
81,26.12
152,23.60
192,23.53
117,28.13
72,33.47
69,22.41
138,37.66
23,36.56
110,41.48
10,26.63
111,28.93
20,27.36
158,38.09
61,20.57
109,22.12
56,21.42
155,21.33
66,30.26
138,22.25
149,38.50
111,21.14
171,22.82
196,40.27
192,30.95
126,23.76
115,23.33
16,34.15
126,23.58
171,23.29
55,38.79
94,25.24
57,33.06
92,37.24
67,39.39
66,25.27
199,34.95
11,23.49
64,24.00
175,39.86
171,33.96
71,35.58
13,30.16
140,32.64
161,39.14
68,22.47
88,42.36
51,38.40
80,38.23
140,37.52
168,29.81
125,30.64
192,23.73
134,40.97
194,42.76
126,23.70
63,21.04
183,41.88
84,39.57
36,39.08
22,22.19
3,32.88
138,29.79
15,27.70
108,43.34
108,40.73
70,41.17
97,31.95
46,42.44
120,30.01
87,40.19
197,39.75
124,31.06
170,38.82
69,39.88
47,29.57
40,26.60
11,37.94
90,31.61
6,43.07
45,32.09
2,31.22
87,32.54
143,24.81
19,39.94
43,34.51
174,28.45
120,42.07
7,34.00
79,34.46
113,43.68
144,40.54
87,35.98
163,42.54
153,21.68
98,25.54
134,43.97
169,21.70
98,22.96
131,20.55
114,27.06
56,30.61
33,25.47
93,33.91
61,42.58
135,21.98
155,28.61
89,22.60
122,38.03
31,37.56
182,29.48
130,43.30
57,32.70
143,34.20
160,21.14
65,20.06
153,34.83
197,38.81
120,30.79
145,23.55
120,36.89
138,31.99
78,30.75
91,36.53
173,38.44
161,41.39
13,40.41
129,21.91
90,28.48
68,23.73
135,29.43
156,32.15
151,36.25
121,21.45
31,22.64
110,31.07
154,35.56
66,34.80
40,24.36
158,26.38
38,33.64
148,41.39
82,34.37
67,31.66
42,25.84
134,37.89
143,31.04
176,42.76
24,38.32
16,31.49
65,41.70
159,30.98
61,26.78
153,42.44
77,31.45
81,24.98
1,26.25
142,37.76
87,25.90
68,24.97
120,38.53
176,29.23
72,38.82
39,42.97
38,23.89
33,40.25
38,31.07
91,29.95
69,36.76
108,39.15
98,26.14
55,34.10
189,43.62
189,37.25
191,35.78
155,40.32
107,29.02
195,29.80
81,25.28
169,37.31
162,39.13
18,40.01
18,43.52
195,29.60
189,30.35
77,34.28
119,36.72
149,35.54
164,40.62
65,42.15
112,36.24
179,25.37
69,25.22
109,39.11
155,29.58
19,33.30
187,22.57
100,26.92
150,28.36
122,39.99
14,30.74
29,31.68
142,39.26
145,42.15
74,24.33
108,23.59
148,39.22
45,32.83
157,43.65
102,38.28
4,37.42
140,38.61
59,39.76
180,43.53
52,30.03
55,20.17
176,23.34
84,25.26
136,24.25
87,33.47
3,26.66
68,35.35
105,31.58
74,35.68
43,42.25
160,26.63
156,37.91
47,33.91
154,20.64
92,25.39
6,35.46
122,37.37
134,22.24
131,39.74
17,27.15
188,42.18
48,41.73
69,24.74
162,20.93
167,35.86
163,36.22
49,27.10
74,24.30
43,36.76
79,25.38
132,33.09
164,43.00
122,27.16
100,28.18
56,27.50
1,24.10
179,33.77
103,34.27
107,26.05
41,30.29
88,39.78
125,42.88
152,23.72
174,20.79
92,24.80
150,38.59
92,21.41
178,22.85
96,27.47
174,27.10
64,26.98
15,31.27
144,38.72
108,23.53
199,20.07
12,37.22
92,36.77
69,29.87
159,41.94
103,32.87
67,27.59
46,36.58
115,38.98
18,20.88
130,28.82
66,39.71
143,41.75
52,26.98
90,26.48
13,43.45
155,21.75
42,40.69
56,38.38
95,27.81
141,23.63
126,39.27
165,27.69
62,39.98
15,31.11
159,34.11
9,20.37
73,43.46
145,39.39
185,33.86
152,42.61
106,23.03
91,23.03
47,25.83
130,43.29
151,29.04
137,37.18
34,38.63
195,39.10
23,40.10
48,23.44
45,32.63
114,20.05
125,26.01
94,24.02
83,34.65
100,42.43
31,24.96
61,31.21
145,35.06
117,29.04
80,24.60
88,24.65
174,42.81
11,24.69
54,20.72
62,25.28
67,37.80
97,43.93
111,34.36
189,38.52
154,32.99
72,23.95
111,42.22
170,42.88
16,21.14
175,23.79
179,34.33
62,23.37
62,26.55
190,22.71
180,30.36
37,39.96
97,25.82
87,42.07
51,42.75
192,34.76
152,26.00
1,24.28
130,24.51
62,39.31
88,34.06
23,28.65
37,25.20
129,32.61
110,37.69
176,30.57
195,40.96
79,27.82
99,34.07
129,36.03
129,29.89
178,42.79
25,37.94
50,30.84
200,40.11
133,37.23
20,41.38
1,24.24
78,20.30
119,30.81
189,33.42
7,29.94
31,21.47
60,22.61
47,25.15
141,35.23
1,41.97
87,27.77
68,21.65
24,33.61
56,22.64
11,31.81
98,32.48
121,27.50
172,25.99
150,34.79
157,40.11
46,28.91
57,42.54
136,28.20
110,23.74
123,36.33
17,34.58
96,36.17
51,40.84
136,27.21
139,42.74
64,28.67
33,34.83
9,29.63
97,34.71
26,41.89
147,31.91
125,26.11
193,23.25
109,37.87
52,37.07
189,39.47
172,29.95
19,24.03
92,20.08
32,29.50
117,23.32
83,43.40
113,31.69
3,36.32
111,37.47
60,37.24
88,40.91
120,27.94
15,22.05
147,38.17
32,36.00
179,34.08
197,35.52
151,27.82
43,35.19
152,39.11
154,42.65
189,38.03
28,32.11
130,20.78
57,38.60
2,20.64
197,35.12
197,23.81
190,28.32
135,37.30
3,26.51
75,32.72
154,25.56
72,30.51
183,37.43
186,41.95
54,38.16
54,34.95
178,22.42
114,27.28
160,41.47
154,26.60
150,27.73
15,37.02
64,33.26
89,43.92
27,31.39
121,24.51
19,43.27
188,20.84
61,24.36
197,36.23
105,34.57
184,33.86
4,23.13
20,26.32
132,26.40
123,34.94
77,41.81
59,32.30
55,29.03
32,38.57
171,24.38
83,38.18
111,39.88
187,34.39
92,31.11
197,37.31
66,41.22
197,22.89
4,35.52
122,35.60
175,40.05
74,41.91
115,41.21
88,24.26
79,31.73
90,31.65
110,40.93
136,36.69
81,33.00
188,27.44
131,33.41
49,39.92
114,24.74
151,24.98
159,43.24
37,21.48
29,36.84
195,40.33
137,39.24
90,32.19
163,33.44
190,40.81
41,35.14
172,35.23
90,26.13
66,25.87
97,37.44
133,37.11
166,20.92
4,29.36
194,41.47
196,40.96
134,23.42
46,26.79
27,37.23
187,30.40
149,40.39
146,33.59
184,30.49
16,29.81
110,35.06
164,26.23
147,43.16
82,27.57
2,23.87
198,21.82
100,26.68
78,34.28
183,34.06
66,29.15
69,21.33
163,22.16
115,39.59
21,22.04
142,24.48
126,37.22
64,35.58
142,34.58
56,22.32
32,24.36
50,27.59
14,26.58
68,34.03
118,38.76
33,32.42
24,32.43
157,32.58
175,26.76
62,41.06
199,38.23
102,32.61
131,27.14
84,34.95
104,41.80
145,23.88
6,22.18
128,31.67
40,34.77
43,32.63
90,21.28
17,28.59
112,27.68
132,20.68
109,43.95
163,42.13
167,35.56
44,29.34
65,29.37
130,38.85
64,32.05
153,25.39
15,31.50
29,36.25
64,37.90
5,36.03
92,35.69
16,42.16
47,37.33
158,24.73
198,39.09
186,31.69
82,42.99
100,29.42
22,27.58
196,22.73
122,39.03
106,33.75
77,41.47
78,30.27
42,31.81
139,36.63
50,41.95
20,28.05
147,26.95
26,34.79
71,34.69
30,30.57
136,24.01
97,27.61
48,40.77
187,33.69
49,33.58
46,31.00
180,26.63
72,42.90
103,28.54
50,32.49
78,41.85
16,40.94
5,38.91
166,33.60
49,34.57
38,33.75
182,30.41
156,30.40
122,39.44
188,27.22
68,20.91
56,29.21
30,26.58
57,36.27
135,32.45
104,27.12
194,25.43
146,41.75
174,33.46
197,30.74
112,32.18
65,20.61
134,32.67
110,27.79
57,43.57
111,26.89
83,36.83
90,25.44
158,20.21
94,33.98
111,32.55
189,25.77
124,35.12
88,41.80
19,29.43
36,34.56
38,24.84
129,24.14
85,39.79
174,30.80
153,29.52
88,42.75
51,32.70
185,30.45
44,41.22
6,29.99
160,28.50
45,31.00
108,31.67
113,27.81
61,42.70
133,36.35
192,32.97
125,36.23
163,24.50
69,40.43
96,39.01
141,21.65
180,34.53
152,37.47
180,35.96
19,22.94
199,21.22
65,38.60
127,24.51
68,32.74
169,32.30
42,25.35
45,42.36
19,40.11
156,33.39
90,35.85
138,30.83
97,25.85
195,23.68
103,21.51
86,21.61
72,26.09
190,41.27
186,34.98
183,36.59
6,26.36
129,41.91
37,24.04
176,33.07
11,33.76
10,31.54
123,36.29
117,42.77
169,41.94
10,36.40
187,25.83
198,20.23
144,23.49
119,41.07
109,20.02
170,40.05
42,23.41
82,33.05
56,21.29
153,24.02
181,37.48
57,37.27
154,26.61
154,31.25
5,43.98
146,33.46
109,36.02
198,27.53
24,39.90
131,23.68
5,23.66
76,20.16
128,42.57
146,30.75
26,31.80
190,20.93
107,25.07
62,27.59
139,24.05
18,24.23
112,32.82
87,34.69
169,38.45
64,27.41
94,24.19
138,26.02
160,41.49
96,41.46
94,36.17
125,32.01
138,22.90
52,31.99
53,35.23
173,25.99
151,29.46
138,21.57
149,35.74
139,32.07
27,31.81
73,41.55
19,41.00
15,38.27
85,38.16
68,22.27
18,38.46
103,29.37
159,40.50
76,29.82
61,37.36
120,31.57
26,23.03
52,43.90
157,30.11
128,32.45
122,35.16
72,38.03
129,36.29
200,31.44
171,41.13
145,43.15
150,34.25
165,41.17
199,21.52
25,35.27
34,35.91
78,22.67
184,43.31
140,29.70
164,27.06
93,36.06
139,31.76
37,30.61
136,26.90
159,26.13
154,32.85
2,37.04
198,39.77
56,39.31
71,22.30
198,37.83
179,40.57
63,26.81
132,43.40
192,33.23
195,27.79
8,40.51
5,32.53
113,21.71
174,38.83
126,37.65
109,27.93
130,26.66
37,25.70
7,28.74
198,23.68
171,27.09
124,39.49
32,37.11
160,43.11
147,39.64
194,20.94
192,35.20
114,38.60
191,40.35
108,32.48
1,31.29
134,23.99
141,28.00
3,33.43
192,36.56
147,30.31
141,25.63
90,42.41
173,36.54
155,32.36
167,31.54
25,40.65
157,25.80
173,37.09
67,28.76
79,30.59
39,39.20
161,38.71
74,40.91
55,38.59
119,37.79
48,32.73
133,21.31
199,37.95
16,25.65
91,21.79
146,24.93
182,42.48
68,24.80
82,22.12
143,43.85
96,27.65
164,28.52
56,23.71
37,24.06
125,31.23
157,37.79
188,26.52
195,27.85
120,35.78
117,35.09
49,22.99
103,21.42
102,25.80
121,25.46
121,30.32
153,29.62
35,36.26
158,35.37
194,21.06
134,25.59
176,32.65
5,41.22
57,31.05
49,22.85
197,21.93
200,34.71
52,34.21
20,32.27
37,22.96
149,37.89
139,34.34
2,28.55
52,32.11
146,26.85
196,43.14
42,22.25
25,39.99
157,20.00
99,20.17
199,35.73
106,34.74
142,38.04
164,40.11
33,24.05
57,33.33
99,42.93
138,43.42
152,39.23
64,22.99
145,43.23
72,34.20
142,36.84
13,33.17
142,22.84
41,32.11
97,30.79
78,36.77
131,30.06
20,39.51
14,28.09
195,31.48
184,28.33
123,33.29
78,32.82
152,23.94
56,30.59
38,31.04
94,27.23
119,27.36
156,35.59
183,34.57
7,28.08
7,43.76
23,41.96
46,32.54
161,27.34
98,31.02
122,41.80
194,23.84
41,28.64
99,34.80
194,36.98
180,32.81
101,26.43
194,37.32
98,39.17
97,39.76
178,25.52
93,42.21
9,23.79
191,27.72
58,26.35
10,26.68
78,21.89
7,43.04
137,28.35
95,22.41
72,32.44
140,38.02
61,41.27
140,35.77
101,27.56
69,43.52
23,32.67
131,25.21
138,29.12
84,23.51
100,42.24
45,27.82
158,34.16
137,32.52
180,27.79
17,43.23
14,25.42
155,22.14
93,43.30
153,20.64
83,34.86
130,41.11
171,25.42
109,38.67
131,31.29
72,35.65
71,35.05
171,39.47
10,27.48
155,27.03
93,39.12
25,25.15
200,42.67
41,43.48
59,26.10
199,36.66
119,25.39
27,36.16
4,34.24
140,36.94
184,28.65
10,22.11
53,20.03
86,29.77
14,31.53
6,26.19
169,31.03
88,35.11
190,42.86
73,41.90
158,24.88
115,21.13
79,21.77
50,41.73
140,34.24
64,39.40
163,36.06
109,36.52
160,26.01
102,34.78
91,38.40
112,22.26
45,25.15
123,28.15
100,33.44
48,37.73
54,30.74
101,39.62
57,32.19
37,36.74
99,21.55
26,31.53
138,24.17
116,41.30
164,22.77
113,37.69
107,25.96
196,21.72
156,24.83
116,28.94
32,40.44
136,37.19
138,31.87
166,21.66
45,42.68
9,33.66
1,23.62
90,31.66
26,40.76
176,20.90
8,21.27
53,42.81
28,41.14
187,43.46
111,39.19
34,31.92
162,34.53
24,24.99
47,25.86
130,27.79
92,42.23
60,39.14
40,30.30
147,34.49
174,38.53
68,39.06
105,25.43
21,21.10
5,23.80
66,38.94
134,38.70
18,40.41
147,41.31
155,28.71
131,29.94
179,30.17
194,31.46
43,25.14
184,41.92
181,28.67
68,36.30
157,37.41
37,28.81
137,39.14
64,32.29
164,42.43
133,42.07
74,20.04
23,21.37
60,43.27
57,34.45
200,30.53
44,24.50
28,34.40
60,43.36
180,28.20
138,33.33
41,35.04
144,31.84
71,37.04
45,40.36
38,21.64
69,25.18
90,41.50
50,33.14
37,28.30
29,37.76
149,32.65
39,29.12
29,30.85
68,39.73
14,32.90
25,25.45
